#,Date-Time (EST),Temperature   (°C),Started,Host Connected,End of File
1,02/09/2025 14:40:03,23.94,Logged,,
2,02/09/2025 14:42:03,18.66,,,
3,02/09/2025 14:44:03,16.51,,,
4,02/09/2025 14:46:03,15.18,,,
5,02/09/2025 14:48:03,14.20,,,
6,02/09/2025 14:50:03,13.55,,,
7,02/09/2025 14:52:03,13.00,,,
8,02/09/2025 14:54:03,12.65,,,
9,02/09/2025 14:56:03,12.40,,,
10,02/09/2025 14:58:03,12.22,,,
11,02/09/2025 15:00:03,12.05,,,
12,02/09/2025 15:02:03,11.88,,,
13,02/09/2025 15:04:03,11.79,,,
14,02/09/2025 15:06:03,11.75,,,
15,02/09/2025 15:08:03,11.67,,,
16,02/09/2025 15:10:03,11.58,,,
17,02/09/2025 15:12:03,11.58,,,
18,02/09/2025 15:14:03,11.54,,,
19,02/09/2025 15:16:03,11.54,,,
20,02/09/2025 15:18:03,11.54,,,
21,02/09/2025 15:20:03,11.45,,,
22,02/09/2025 15:22:03,11.49,,,
23,02/09/2025 15:24:03,11.49,,,
24,02/09/2025 15:26:03,11.41,,,
25,02/09/2025 15:28:03,11.45,,,
26,02/09/2025 15:30:03,11.49,,,
27,02/09/2025 15:32:03,11.41,,,
28,02/09/2025 15:34:03,11.41,,,
29,02/09/2025 15:36:03,11.45,,,
30,02/09/2025 15:38:03,11.37,,,
31,02/09/2025 15:40:03,11.37,,,
32,02/09/2025 15:42:03,11.37,,,
33,02/09/2025 15:44:03,11.41,,,
34,02/09/2025 15:46:03,11.41,,,
35,02/09/2025 15:48:03,11.41,,,
36,02/09/2025 15:50:03,11.37,,,
37,02/09/2025 15:52:03,11.37,,,
38,02/09/2025 15:54:03,11.37,,,
39,02/09/2025 15:56:03,11.37,,,
40,02/09/2025 15:58:03,11.37,,,
41,02/09/2025 16:00:03,11.37,,,
42,02/09/2025 16:02:03,11.32,,,
43,02/09/2025 16:04:03,11.37,,,
44,02/09/2025 16:06:03,11.32,,,
45,02/09/2025 16:08:03,11.37,,,
46,02/09/2025 16:10:03,11.37,,,
47,02/09/2025 16:12:03,11.37,,,
48,02/09/2025 16:14:03,11.37,,,
49,02/09/2025 16:16:03,11.32,,,
50,02/09/2025 16:18:03,11.37,,,
51,02/09/2025 16:20:03,11.32,,,
52,02/09/2025 16:22:03,11.32,,,
53,02/09/2025 16:24:03,11.37,,,
54,02/09/2025 16:26:03,11.32,,,
55,02/09/2025 16:28:03,11.32,,,
56,02/09/2025 16:30:03,11.37,,,
57,02/09/2025 16:32:03,11.32,,,
58,02/09/2025 16:34:03,11.37,,,
59,02/09/2025 16:36:03,11.32,,,
60,02/09/2025 16:38:03,11.32,,,
61,02/09/2025 16:40:03,11.32,,,
62,02/09/2025 16:42:03,11.28,,,
63,02/09/2025 16:44:03,11.28,,,
64,02/09/2025 16:46:03,11.37,,,
65,02/09/2025 16:48:03,11.32,,,
66,02/09/2025 16:50:03,11.37,,,
67,02/09/2025 16:52:03,11.32,,,
68,02/09/2025 16:54:03,11.32,,,
69,02/09/2025 16:56:03,11.37,,,
70,02/09/2025 16:58:03,11.32,,,
71,02/09/2025 17:00:03,11.28,,,
72,02/09/2025 17:02:03,11.28,,,
73,02/09/2025 17:04:03,11.32,,,
74,02/09/2025 17:06:03,11.28,,,
75,02/09/2025 17:08:03,11.28,,,
76,02/09/2025 17:10:03,11.28,,,
77,02/09/2025 17:12:03,11.28,,,
78,02/09/2025 17:14:03,11.28,,,
79,02/09/2025 17:16:03,11.28,,,
80,02/09/2025 17:18:03,11.28,,,
81,02/09/2025 17:20:03,11.32,,,
82,02/09/2025 17:22:03,11.28,,,
83,02/09/2025 17:24:03,11.32,,,
84,02/09/2025 17:26:03,11.32,,,
85,02/09/2025 17:28:03,11.32,,,
86,02/09/2025 17:30:03,11.32,,,
87,02/09/2025 17:32:03,11.28,,,
88,02/09/2025 17:34:03,11.32,,,
89,02/09/2025 17:36:03,11.32,,,
90,02/09/2025 17:38:03,11.32,,,
91,02/09/2025 17:40:03,11.32,,,
92,02/09/2025 17:42:03,11.28,,,
93,02/09/2025 17:44:03,11.28,,,
94,02/09/2025 17:46:03,11.24,,,
95,02/09/2025 17:48:03,11.19,,,
96,02/09/2025 17:50:03,11.24,,,
97,02/09/2025 17:52:03,11.28,,,
98,02/09/2025 17:54:03,11.24,,,
99,02/09/2025 17:56:03,11.24,,,
100,02/09/2025 17:58:03,11.19,,,
101,02/09/2025 18:00:03,11.19,,,
102,02/09/2025 18:02:03,11.19,,,
103,02/09/2025 18:04:03,11.24,,,
104,02/09/2025 18:06:03,11.19,,,
105,02/09/2025 18:08:03,11.15,,,
106,02/09/2025 18:10:03,11.07,,,
107,02/09/2025 18:12:03,11.07,,,
108,02/09/2025 18:14:03,11.02,,,
109,02/09/2025 18:16:03,11.02,,,
110,02/09/2025 18:18:03,10.98,,,
111,02/09/2025 18:20:03,10.98,,,
112,02/09/2025 18:22:03,11.02,,,
113,02/09/2025 18:24:03,10.98,,,
114,02/09/2025 18:26:03,10.98,,,
115,02/09/2025 18:28:03,10.98,,,
116,02/09/2025 18:30:03,10.94,,,
117,02/09/2025 18:32:03,10.94,,,
118,02/09/2025 18:34:03,10.94,,,
119,02/09/2025 18:36:03,10.94,,,
120,02/09/2025 18:38:03,10.94,,,
121,02/09/2025 18:40:03,10.89,,,
122,02/09/2025 18:42:03,10.85,,,
123,02/09/2025 18:44:03,10.85,,,
124,02/09/2025 18:46:03,10.81,,,
125,02/09/2025 18:48:03,10.81,,,
126,02/09/2025 18:50:03,10.72,,,
127,02/09/2025 18:52:03,10.68,,,
128,02/09/2025 18:54:03,10.64,,,
129,02/09/2025 18:56:03,10.68,,,
130,02/09/2025 18:58:03,10.64,,,
131,02/09/2025 19:00:03,10.59,,,
132,02/09/2025 19:02:03,10.59,,,
133,02/09/2025 19:04:03,10.59,,,
134,02/09/2025 19:06:03,10.59,,,
135,02/09/2025 19:08:03,10.55,,,
