#,Date-Time (EST),Temperature   (°C),Started,Host Connected,End of File
1,02/09/2025 13:30:10,17.93,Logged,,
2,02/09/2025 13:32:10,17.16,,,
3,02/09/2025 13:34:10,16.64,,,
4,02/09/2025 13:36:10,16.21,,,
5,02/09/2025 13:38:10,16.00,,,
6,02/09/2025 13:40:10,15.78,,,
7,02/09/2025 13:42:10,15.61,,,
8,02/09/2025 13:44:10,15.57,,,
9,02/09/2025 13:46:10,15.53,,,
10,02/09/2025 13:48:10,15.44,,,
11,02/09/2025 13:50:10,15.40,,,
12,02/09/2025 13:52:10,15.31,,,
13,02/09/2025 13:54:10,15.36,,,
14,02/09/2025 13:56:10,15.27,,,
15,02/09/2025 13:58:10,15.31,,,
16,02/09/2025 14:00:10,15.27,,,
17,02/09/2025 14:02:10,15.27,,,
18,02/09/2025 14:04:10,15.23,,,
19,02/09/2025 14:06:10,15.27,,,
20,02/09/2025 14:08:10,15.23,,,
21,02/09/2025 14:10:10,15.27,,,
22,02/09/2025 14:12:10,15.27,,,
23,02/09/2025 14:14:10,15.23,,,
24,02/09/2025 14:16:10,15.23,,,
25,02/09/2025 14:18:10,15.23,,,
26,02/09/2025 14:20:10,15.27,,,
27,02/09/2025 14:22:10,15.23,,,
28,02/09/2025 14:24:10,15.27,,,
29,02/09/2025 14:26:10,15.23,,,
30,02/09/2025 14:28:10,15.23,,,
31,02/09/2025 14:30:10,15.18,,,
32,02/09/2025 14:32:10,15.23,,,
33,02/09/2025 14:34:10,15.23,,,
34,02/09/2025 14:36:10,15.18,,,
35,02/09/2025 14:38:10,15.23,,,
36,02/09/2025 14:40:10,15.23,,,
37,02/09/2025 14:42:10,15.27,,,
38,02/09/2025 14:44:10,15.18,,,
39,02/09/2025 14:46:10,15.18,,,
40,02/09/2025 14:48:10,15.18,,,
41,02/09/2025 14:50:10,15.18,,,
42,02/09/2025 14:52:10,15.23,,,
43,02/09/2025 14:54:10,15.18,,,
44,02/09/2025 14:56:10,15.23,,,
45,02/09/2025 14:58:10,15.18,,,
46,02/09/2025 15:00:10,15.23,,,
47,02/09/2025 15:02:10,15.18,,,
48,02/09/2025 15:04:10,15.18,,,
49,02/09/2025 15:06:10,15.23,,,
50,02/09/2025 15:08:10,15.18,,,
51,02/09/2025 15:10:10,15.18,,,
52,02/09/2025 15:12:10,15.23,,,
53,02/09/2025 15:14:10,15.18,,,
54,02/09/2025 15:16:10,15.23,,,
55,02/09/2025 15:18:10,15.18,,,
56,02/09/2025 15:20:10,15.23,,,
57,02/09/2025 15:22:10,15.23,,,
58,02/09/2025 15:24:10,15.18,,,
59,02/09/2025 15:26:10,15.18,,,
60,02/09/2025 15:28:10,15.23,,,
61,02/09/2025 15:30:10,15.18,,,
62,02/09/2025 15:32:10,15.18,,,
63,02/09/2025 15:34:10,15.18,,,
64,02/09/2025 15:36:10,15.18,,,
65,02/09/2025 15:38:10,15.18,,,
66,02/09/2025 15:40:10,15.18,,,
67,02/09/2025 15:42:10,15.18,,,
68,02/09/2025 15:44:10,15.23,,,
69,02/09/2025 15:46:10,15.18,,,
70,02/09/2025 15:48:10,15.14,,,
71,02/09/2025 15:50:10,15.18,,,
72,02/09/2025 15:52:10,15.14,,,
73,02/09/2025 15:54:10,15.23,,,
74,02/09/2025 15:56:10,15.18,,,
75,02/09/2025 15:58:10,15.23,,,
76,02/09/2025 16:00:10,15.23,,,
77,02/09/2025 16:02:10,15.18,,,
78,02/09/2025 16:04:10,15.18,,,
79,02/09/2025 16:06:10,15.23,,,
80,02/09/2025 16:08:10,15.23,,,
81,02/09/2025 16:10:10,15.18,,,
82,02/09/2025 16:12:10,15.18,,,
83,02/09/2025 16:14:10,15.18,,,
84,02/09/2025 16:16:10,15.23,,,
85,02/09/2025 16:18:10,15.14,,,
86,02/09/2025 16:20:10,15.18,,,
87,02/09/2025 16:22:10,15.18,,,
88,02/09/2025 16:24:10,15.23,,,
89,02/09/2025 16:26:10,15.18,,,
90,02/09/2025 16:28:10,15.18,,,
91,02/09/2025 16:30:10,15.18,,,
92,02/09/2025 16:32:10,15.18,,,
93,02/09/2025 16:34:10,15.18,,,
94,02/09/2025 16:36:10,15.23,,,
95,02/09/2025 16:38:10,15.14,,,
96,02/09/2025 16:40:10,15.18,,,
97,02/09/2025 16:42:10,15.18,,,
98,02/09/2025 16:44:10,15.14,,,
99,02/09/2025 16:46:10,15.18,,,
100,02/09/2025 16:48:10,15.18,,,
101,02/09/2025 16:50:10,15.18,,,
102,02/09/2025 16:52:10,15.14,,,
103,02/09/2025 16:54:10,15.14,,,
104,02/09/2025 16:56:10,15.18,,,
105,02/09/2025 16:58:10,15.23,,,
106,02/09/2025 17:00:10,15.18,,,
107,02/09/2025 17:02:10,15.18,,,
108,02/09/2025 17:04:10,15.14,,,
109,02/09/2025 17:06:10,15.18,,,
110,02/09/2025 17:08:10,15.23,,,
111,02/09/2025 17:10:10,15.18,,,
112,02/09/2025 17:12:10,15.18,,,
113,02/09/2025 17:14:10,15.18,,,
114,02/09/2025 17:16:10,15.18,,,
115,02/09/2025 17:18:10,15.14,,,
116,02/09/2025 17:20:10,15.18,,,
117,02/09/2025 17:22:10,15.18,,,
118,02/09/2025 17:24:10,15.18,,,
119,02/09/2025 17:26:10,15.18,,,
120,02/09/2025 17:28:10,15.23,,,
121,02/09/2025 17:30:10,15.23,,,
122,02/09/2025 17:32:10,15.23,,,
123,02/09/2025 17:34:10,15.23,,,
124,02/09/2025 17:36:10,15.18,,,
125,02/09/2025 17:38:10,15.18,,,
126,02/09/2025 17:40:10,15.14,,,
127,02/09/2025 17:42:10,15.18,,,
128,02/09/2025 17:44:10,15.18,,,
129,02/09/2025 17:46:10,15.23,,,
130,02/09/2025 17:48:10,15.23,,,
131,02/09/2025 17:50:10,15.18,,,
132,02/09/2025 17:52:10,15.14,,,
133,02/09/2025 17:54:10,15.18,,,
134,02/09/2025 17:56:10,15.18,,,
135,02/09/2025 17:58:10,15.18,,,
136,02/09/2025 18:00:10,15.18,,,
137,02/09/2025 18:02:10,15.18,,,
138,02/09/2025 18:04:10,15.18,,,
139,02/09/2025 18:06:10,15.18,,,
140,02/09/2025 18:08:10,15.18,,,
141,02/09/2025 18:10:10,15.18,,,
142,02/09/2025 18:12:10,15.14,,,
143,02/09/2025 18:14:10,15.18,,,
144,02/09/2025 18:16:10,15.18,,,
145,02/09/2025 18:18:10,15.18,,,
146,02/09/2025 18:20:10,15.14,,,
