Date-Time (EST),Temperature_Sensor1 2025-03-08 10_53_43 EST (Data EST),Temperature_Sensor2 2025-03-08 11_36_27 EST (Data EST),Temperature_Sensor3 2025-03-08 12_57_01 EST (Data EST),Temperature_Sensor4 2025-03-08 13_24_43 EST (Data EST),Temperature_Sensor5 2025-03-08 10_27_43 EST (Data EST)
2/9/2025 14:46,9.95,11.54,16.3,15.18,15.18
2/9/2025 14:48,9.99,11.58,16.39,15.18,14.2
2/9/2025 14:50,9.95,11.58,16.34,15.18,13.55
2/9/2025 14:52,9.99,11.58,16.34,15.18,13
2/9/2025 14:54,9.95,11.58,16.39,15.18,12.65
2/9/2025 14:56,9.95,11.58,16.34,15.18,12.4
2/9/2025 14:58,9.95,11.54,16.39,15.18,12.22
2/9/2025 15:00,9.95,11.54,16.3,15.18,12.05
2/9/2025 15:02,9.95,11.49,16.3,15.18,11.88
2/9/2025 15:04,9.99,11.54,16.34,15.18,11.79
2/9/2025 15:06,9.95,11.58,16.34,15.18,11.75
2/9/2025 15:08,9.95,11.62,16.34,15.18,11.67
2/9/2025 15:10,9.95,11.54,16.34,15.18,11.58
2/9/2025 15:12,9.99,11.54,16.34,15.18,11.58
2/9/2025 15:14,9.99,11.54,16.3,15.18,11.54
2/9/2025 15:16,9.95,11.58,16.34,15.18,11.54
2/9/2025 15:18,9.95,11.54,16.34,15.18,11.54
2/9/2025 15:20,9.91,11.62,16.34,15.18,11.45
2/9/2025 15:22,9.95,11.58,16.39,15.18,11.49
2/9/2025 15:24,9.95,11.58,16.34,15.18,11.49
2/9/2025 15:26,9.95,11.54,16.34,15.18,11.41
2/9/2025 15:28,9.91,11.58,16.39,15.18,11.45
2/9/2025 15:30,9.95,11.58,16.34,15.18,11.49
2/9/2025 15:32,9.95,11.54,16.39,15.18,11.41
2/9/2025 15:34,9.95,11.54,16.34,15.18,11.41
2/9/2025 15:36,9.95,11.58,16.34,15.18,11.45
2/9/2025 15:38,9.99,11.54,16.34,15.18,11.37
2/9/2025 15:40,9.95,11.58,16.3,15.18,11.37
2/9/2025 15:42,9.95,11.54,16.34,15.18,11.37
2/9/2025 15:44,9.99,11.54,16.34,15.18,11.41
2/9/2025 15:46,9.99,11.58,16.39,15.18,11.41
2/9/2025 15:48,9.95,11.54,16.34,15.14,11.41
2/9/2025 15:50,9.99,11.54,16.34,15.18,11.37
2/9/2025 15:52,9.95,11.54,16.34,15.14,11.37
2/9/2025 15:54,9.95,11.54,16.3,15.16,11.37
2/9/2025 15:56,9.95,11.54,16.34,15.18,11.37
2/9/2025 15:58,9.95,11.58,16.34,15.18,11.37
2/9/2025 16:00,9.95,11.54,16.39,15.18,11.37
2/9/2025 16:02,9.95,11.54,16.3,15.18,11.32
2/9/2025 16:04,9.95,11.58,16.34,15.18,11.37
2/9/2025 16:06,9.95,11.54,16.34,15.18,11.32
2/9/2025 16:08,9.99,11.54,16.39,15.18,11.37
2/9/2025 16:10,9.95,11.58,16.34,15.18,11.37
2/9/2025 16:12,9.99,11.56,16.34,15.18,11.37
2/9/2025 16:14,9.95,11.54,16.3,15.18,11.37
2/9/2025 16:16,9.99,11.54,16.34,15.16,11.32
2/9/2025 16:18,9.95,11.54,16.3,15.14,11.37
2/9/2025 16:20,9.95,11.54,16.34,15.18,11.32
2/9/2025 16:22,9.99,11.54,16.34,15.18,11.32
2/9/2025 16:24,9.97,11.54,16.3,15.18,11.37
2/9/2025 16:26,9.95,11.54,16.3,15.18,11.32
2/9/2025 16:28,9.99,11.54,16.34,15.18,11.32
2/9/2025 16:30,9.95,11.54,16.34,15.18,11.37
2/9/2025 16:32,9.95,11.54,16.3,15.18,11.32
2/9/2025 16:34,9.95,11.54,16.3,15.18,11.37
2/9/2025 16:36,9.95,11.54,16.3,15.16,11.32
2/9/2025 16:38,9.95,11.54,16.3,15.14,11.32
2/9/2025 16:40,9.99,11.54,16.34,15.18,11.32
2/9/2025 16:42,9.95,11.54,16.34,15.18,11.28
2/9/2025 16:44,9.95,11.54,16.34,15.14,11.28
2/9/2025 16:46,9.91,11.58,16.39,15.18,11.37
2/9/2025 16:48,9.95,11.49,16.34,15.18,11.32
2/9/2025 16:50,9.95,11.49,16.34,15.18,11.37
2/9/2025 16:52,9.95,11.49,16.3,15.14,11.32
2/9/2025 16:54,9.95,11.49,16.3,15.14,11.32
2/9/2025 16:56,9.95,11.54,16.34,15.18,11.37
2/9/2025 16:58,9.95,11.49,16.34,15.18,11.32
2/9/2025 17:00,9.95,11.58,16.34,15.18,11.28
2/9/2025 17:02,9.99,11.49,16.3,15.18,11.28
2/9/2025 17:04,9.99,11.49,16.34,15.14,11.32
2/9/2025 17:06,9.95,11.54,16.34,15.18,11.28
2/9/2025 17:08,9.99,11.54,16.39,15.18,11.28
2/9/2025 17:10,9.95,11.54,16.37333333,15.18,11.28
2/9/2025 17:12,9.95,11.49,16.35666667,15.18,11.28
2/9/2025 17:14,9.99,11.49,16.34,15.18,11.28
2/9/2025 17:16,9.91,11.54,16.3,15.18,11.28
2/9/2025 17:18,9.95,11.49,16.34,15.14,11.28
2/9/2025 17:20,9.95,11.49,16.3,15.18,11.32
2/9/2025 17:22,9.99,11.54,16.34,15.18,11.28
2/9/2025 17:24,9.99,11.54,16.34,15.18,11.32
2/9/2025 17:26,9.99,11.49,16.3,15.18,11.32
2/9/2025 17:28,9.91,11.54,16.34,15.18,11.32
2/9/2025 17:30,10.04,11.54,16.34,15.18,11.32
2/9/2025 17:32,9.95,11.54,16.3,15.18,11.28
2/9/2025 17:34,9.95,11.49,16.34,15.18,11.32
2/9/2025 17:36,9.95,11.49,16.34,15.18,11.32
2/9/2025 17:38,9.95,11.54,16.34,15.18,11.32
2/9/2025 17:40,9.99,11.54,16.34,15.14,11.32
2/9/2025 17:42,9.95,11.49,16.34,15.18,11.28
2/9/2025 17:44,9.95,11.49,16.34,15.18,11.28
2/9/2025 17:46,9.99,11.49,16.3,15.18,11.24
2/9/2025 17:48,9.99,11.49,16.34,15.18,11.19
2/9/2025 17:50,9.95,11.49,16.34,15.18,11.24
2/9/2025 17:52,9.99,11.49,16.34,15.14,11.28
2/9/2025 17:54,9.95,11.49,16.34,15.18,11.24
2/9/2025 17:56,9.99,11.54,16.34,15.18,11.24
2/9/2025 17:58,9.95,11.49,16.34,15.18,11.19
2/9/2025 18:00,9.91,11.49,16.34,15.18,11.19
2/9/2025 18:02,9.95,11.49,16.34,15.18,11.19
2/9/2025 18:04,9.94,11.49,16.34,15.18,11.24
2/9/2025 18:06,9.93,11.45,16.3,15.18,11.19
2/9/2025 18:08,9.92,11.49,16.3,15.18,11.15
2/9/2025 18:10,9.91,11.54,16.34,15.18,11.07
2/9/2025 18:12,9.95,11.49,16.34,15.14,11.07
2/9/2025 18:14,9.99,11.49,16.34,15.18,11.02
2/9/2025 18:16,9.95,11.49,16.34,15.18,11.02
2/9/2025 18:18,9.95,11.54,16.34,15.18,10.98
2/9/2025 18:20,9.91,11.49,16.3,15.14,10.98
2/9/2025 18:22,9.99,11.54,16.34,15.18,11.02
2/9/2025 18:24,9.95,11.54,16.34,15.18,10.98
2/9/2025 18:26,9.95,11.49,16.34,15.18,10.98
2/9/2025 18:28,9.95,11.49,16.34,15.18,10.98
2/9/2025 18:30,9.91,11.49,16.3,15.18,10.94
2/9/2025 18:32,9.91,11.49,16.3,15.14,10.94
2/9/2025 18:34,9.95,11.54,16.34,15.18,10.94
2/9/2025 18:36,9.91,11.49,16.34,15.172,10.94
2/9/2025 18:38,9.99,11.49,16.34,15.164,10.94
2/9/2025 18:40,9.91,11.54,16.3,15.156,10.89
2/9/2025 18:42,9.91,11.54,16.34,15.148,10.85
2/9/2025 18:44,9.91,11.49,16.34,15.14,10.85
2/9/2025 18:46,9.91,11.54,16.34,15.18,10.81
2/9/2025 18:48,9.91,11.54,16.34,15.18,10.81
2/9/2025 18:50,9.95,11.49,16.34,15.18,10.72
2/9/2025 18:52,9.95,11.49,16.34,15.14,10.68
2/9/2025 18:54,9.91,11.49,16.34,15.18,10.64
2/9/2025 18:56,9.91,11.49,16.26,15.18,10.68
2/9/2025 18:58,9.86,11.49,16.34,15.18,10.64
2/9/2025 19:00,9.91,11.54,16.34,15.14,10.59
2/9/2025 19:02,9.91,11.49,16.3,15.18,10.59
2/9/2025 19:04,9.91,11.49,16.34,15.16666667,10.59
2/9/2025 19:06,9.91,11.49,16.3,15.15333333,10.59
2/9/2025 19:08,9.91,11.49,16.34,15.14,10.55
2/9/2025 19:10,9.91,11.49,16.34,15.14,10.59
2/9/2025 19:12,9.91,11.49,16.3,15.14,10.55
2/9/2025 19:14,9.86,11.45,16.3,15.18,10.615
2/9/2025 19:16,9.95,11.54,16.39,15.14,10.68
2/9/2025 19:18,9.91,11.49,16.3,15.16,10.59
2/9/2025 19:20,9.95,11.49,16.34,15.18,10.55
2/9/2025 19:22,9.91,11.54,16.39,15.18,10.55
2/9/2025 19:24,9.91,11.49,16.34,15.18,10.46
2/9/2025 19:26,9.95,11.54,16.26,15.18,10.55
2/9/2025 19:28,9.95,11.49,16.28,15.18,10.55
2/9/2025 19:30,9.86,11.45,16.3,15.18,10.55
2/9/2025 19:32,9.86,11.49,16.34,15.18,10.46
2/9/2025 19:34,9.91,11.49,16.34,15.18,10.51
2/9/2025 19:36,9.91,11.49,16.34,15.14,10.51
2/9/2025 19:38,9.95,11.49,16.34,15.16,10.51
